Transaction_ID,Date,Year,Quarter,City,City_Tier,State,Category,Platform,Payment_Method,Revenue_USD,Revenue_INR,GST_Rate_Pct,Customer_Rating,Is_Returned,Device_Type,Internet_Type
IND-2000000,05-05-2023,2023,Q2,Surat,Tier-2,Gujarat,Automotive,Tata Cliq,Net Banking,534.34,44617,12,4.1,FALSE,Mobile,4G
IND-2000001,26-07-2018,2018,Q3,Chandigarh,Tier-2,Punjab,Automotive,Snapdeal,Cash on Delivery,184.82,15432,5,2.9,FALSE,Desktop,4G
IND-2000002,04-11-2019,2019,Q4,Mumbai,Tier-1,Maharashtra,Grocery & Food,Meesho,UPI,42.19,3523,18,4.9,FALSE,Mobile,5G
IND-2000003,25-05-2022,2022,Q2,Jaipur,Tier-2,Rajasthan,Home & Furniture,BigBasket,Debit Card,238.74,19935,5,4.4,FALSE,Mobile,5G
IND-2000004,17-01-2016,2016,Q1,Ahmedabad,Tier-2,Gujarat,Health & Beauty,Flipkart,BNPL,37.86,3161,5,3.8,FALSE,Mobile,4G
IND-2000005,02-11-2023,2023,Q4,Chandigarh,Tier-2,Punjab,Automotive,Flipkart,Credit Card,376.9,31471,18,4.2,FALSE,Mobile,WiFi
IND-2000006,20-02-2022,2022,Q1,Surat,Tier-2,Gujarat,Electronics,Meesho,BNPL,455.83,38062,12,2.8,FALSE,Tablet,Broadband
IND-2000007,19-05-2015,2015,Q2,Lucknow,Tier-2,Uttar Pradesh,Books & Media,Snapdeal,UPI,25.24,2108,5,3.6,TRUE,Mobile,4G
IND-2000008,23-08-2019,2019,Q3,Kolkata,Tier-1,West Bengal,Home & Furniture,Myntra,Debit Card,122.84,10257,18,2.8,FALSE,Mobile,Broadband
IND-2000009,23-06-2016,2016,Q2,Chennai,Tier-1,Tamil Nadu,Toys & Games,Nykaa,BNPL,33.04,2759,28,4.5,FALSE,Mobile,4G
IND-2000010,05-11-2022,2022,Q4,Ahmedabad,Tier-2,Gujarat,Books & Media,BigBasket,UPI,25.31,2113,28,3.4,TRUE,Mobile,4G
IND-2000011,17-03-2018,2018,Q1,Ahmedabad,Tier-2,Gujarat,Toys & Games,BigBasket,Credit Card,31.46,2627,12,4.3,FALSE,Mobile,4G
IND-2000012,10-08-2022,2022,Q3,Lucknow,Tier-2,Uttar Pradesh,Toys & Games,JioMart,Credit Card,42.91,3583,18,3.8,FALSE,Mobile,5G
IND-2000013,10-11-2019,2019,Q4,Kolkata,Tier-1,West Bengal,Fashion & Apparel,JioMart,Wallet,102.07,8523,5,4.4,FALSE,Desktop,4G
IND-2000014,21-06-2020,2020,Q2,Chennai,Tier-1,Tamil Nadu,Books & Media,Snapdeal,Cash on Delivery,33.66,2811,5,4.5,FALSE,Desktop,Broadband
IND-2000015,15-11-2015,2015,Q4,Surat,Tier-2,Gujarat,Health & Beauty,Flipkart,UPI,34.96,2919,5,4,FALSE,Mobile,WiFi
IND-2000016,30-03-2018,2018,Q1,Hyderabad,Tier-1,Telangana,Books & Media,Snapdeal,Cash on Delivery,22.54,1882,12,4.7,FALSE,Mobile,4G
IND-2000017,13-06-2016,2016,Q2,Jaipur,Tier-2,Rajasthan,Electronics,Ajio,Credit Card,376.76,31459,12,4.7,FALSE,Mobile,WiFi
IND-2000018,10-08-2017,2017,Q3,Delhi,Tier-1,Delhi,Electronics,Tata Cliq,UPI,227.67,19010,18,2.9,FALSE,Mobile,WiFi
IND-2000019,13-11-2023,2023,Q4,Jaipur,Tier-2,Rajasthan,Jewellery & Watches,JioMart,BNPL,597.92,49926,18,3.1,TRUE,Mobile,4G
IND-2000020,14-07-2016,2016,Q3,Ahmedabad,Tier-2,Gujarat,Automotive,Meesho,UPI,399.79,33382,12,3.6,FALSE,Mobile,4G
IND-2000021,09-04-2016,2016,Q2,Bengaluru,Tier-1,Karnataka,Sports & Outdoors,JioMart,UPI,50.2,4192,5,4.2,FALSE,Mobile,4G
IND-2000022,28-07-2019,2019,Q3,Surat,Tier-2,Gujarat,Toys & Games,Amazon India,Credit Card,59.36,4957,18,4.5,FALSE,Mobile,WiFi
IND-2000023,25-12-2021,2021,Q4,Surat,Tier-2,Gujarat,Electronics,Ajio,Debit Card,147.58,12323,5,2.6,TRUE,Tablet,WiFi
IND-2000024,02-04-2019,2019,Q2,Chandigarh,Tier-2,Punjab,Fashion & Apparel,Tata Cliq,Credit Card,80.57,6728,18,4.3,TRUE,Mobile,4G
IND-2000025,27-12-2015,2015,Q4,Bengaluru,Tier-1,Karnataka,Home & Furniture,Ajio,Cash on Delivery,152.34,12720,18,4.6,FALSE,Mobile,3G
IND-2000026,03-03-2023,2023,Q1,Kolkata,Tier-1,West Bengal,Toys & Games,Flipkart,Debit Card,130.43,10891,28,3.3,FALSE,Desktop,5G
IND-2000027,28-12-2019,2019,Q4,Delhi,Tier-1,Delhi,Home & Furniture,Meesho,UPI,189.01,15782,18,4.6,FALSE,Mobile,4G
IND-2000028,09-06-2022,2022,Q2,Chennai,Tier-1,Tamil Nadu,Sports & Outdoors,Meesho,UPI,76.8,6413,28,3.8,FALSE,Desktop,5G
IND-2000029,25-12-2015,2015,Q4,Ahmedabad,Tier-2,Gujarat,Grocery & Food,Meesho,Credit Card,29.15,2434,18,3.1,TRUE,Desktop,4G
IND-2000030,03-11-2022,2022,Q4,Lucknow,Tier-2,Uttar Pradesh,Books & Media,BigBasket,Cash on Delivery,48.73,4069,18,4.3,FALSE,Mobile,5G
IND-2000031,04-11-2016,2016,Q4,Lucknow,Tier-2,Uttar Pradesh,Fashion & Apparel,JioMart,Debit Card,44.84,3744,18,4.6,TRUE,Mobile,Broadband
IND-2000032,11-09-2022,2022,Q3,Jaipur,Tier-2,Rajasthan,Home & Furniture,Snapdeal,UPI,202.03,16870,28,4,FALSE,Desktop,5G
IND-2000033,03-10-2021,2021,Q4,Kolkata,Tier-1,West Bengal,Health & Beauty,Ajio,Debit Card,32.2,2689,28,3.6,FALSE,Mobile,4G
IND-2000034,26-07-2020,2020,Q3,Pune,Tier-1,Maharashtra,Sports & Outdoors,BigBasket,Cash on Delivery,90.87,7588,18,4.5,FALSE,Mobile,WiFi
IND-2000035,20-07-2017,2017,Q3,Pune,Tier-1,Maharashtra,Automotive,Myntra,Debit Card,427.29,35679,18,4.7,FALSE,Mobile,WiFi
IND-2000036,24-03-2022,2022,Q1,Chandigarh,Tier-2,Punjab,Automotive,JioMart,Wallet,359.8,30043,5,3.9,FALSE,Mobile,WiFi
IND-2000037,08-09-2021,2021,Q3,Ahmedabad,Tier-2,Gujarat,Fashion & Apparel,Snapdeal,UPI,120.43,10056,5,3.6,TRUE,Tablet,4G
IND-2000038,16-08-2021,2021,Q3,Pune,Tier-1,Maharashtra,Books & Media,Amazon India,UPI,29.32,2448,28,3.3,FALSE,Mobile,WiFi
IND-2000039,23-11-2017,2017,Q4,Mumbai,Tier-1,Maharashtra,Home & Furniture,Flipkart,Cash on Delivery,242.1,20215,5,4.4,FALSE,Mobile,4G
IND-2000040,30-03-2022,2022,Q1,Delhi,Tier-1,Delhi,Health & Beauty,JioMart,UPI,65.06,5433,12,5,TRUE,Mobile,WiFi
IND-2000041,28-01-2015,2015,Q1,Kolkata,Tier-1,West Bengal,Automotive,Myntra,UPI,149.5,12483,28,3.9,FALSE,Mobile,4G
IND-2000042,09-10-2021,2021,Q4,Surat,Tier-2,Gujarat,Home & Furniture,Amazon India,Cash on Delivery,213.38,17817,18,5,FALSE,Mobile,WiFi
IND-2000043,17-09-2022,2022,Q3,Kolkata,Tier-1,West Bengal,Books & Media,Flipkart,BNPL,27.62,2306,12,2.8,FALSE,Mobile,4G
IND-2000044,05-05-2023,2023,Q2,Bengaluru,Tier-1,Karnataka,Electronics,Myntra,Net Banking,366.24,30581,18,4.7,FALSE,Mobile,Broadband
IND-2000045,23-09-2024,2024,Q3,Jaipur,Tier-2,Rajasthan,Home & Furniture,Flipkart,UPI,643.98,53772,18,3.6,FALSE,Mobile,4G
IND-2000046,22-08-2021,2021,Q3,Bengaluru,Tier-1,Karnataka,Books & Media,Myntra,Debit Card,30.78,2570,18,4.2,FALSE,Mobile,4G
